"""№""";"""Дата Обновления""";"""Дата Добавления""";"""Название"""
https://2gis.ru/omsk/firm/70000001031704573;10.06.2020 19:37:08;20.03.2018 3:00:00;Спартамед
https://2gis.ru/omsk/firm/70000001031704573;10.06.2020 19:37:08;20.03.2018 3:00:00;Спартамед
https://2gis.ru/omsk/firm/70000001031704573;10.06.2020 19:37:08;20.03.2018 3:00:00;Спартамед
https://2gis.ru/omsk/firm/282003257996205;01.06.2020 12:55:33;;Доктор Добряков
https://2gis.ru/omsk/firm/282003258602199;02.09.2020 13:50:07;;Дент Мастер
https://2gis.ru/omsk/firm/282003257720983;22.06.2020 13:31:46;;Улыбка
https://2gis.ru/omsk/firm/282003258582849;21.05.2020 20:16:12;;Элита
https://2gis.ru/omsk/firm/70000001032443332;28.05.2020 16:05:23;01.06.2018 3:00:00;Жемчужный слон
https://2gis.ru/omsk/firm/282003257855805;28.05.2019 12:50:06;;Спартамед
https://2gis.ru/omsk/firm/70000001034329834;15.05.2020 13:06:03;01.11.2018 3:00:00;КосмоСтом
https://2gis.ru/omsk/firm/70000001040520670;28.11.2019 14:34:45;01.12.2019 3:00:00;Спартамед
